"household_id","province","district","urban_rural","region","household_size","income","expenditure","education","satisfaction","has_internet","num_children"
2340,"Prov_01","Prov_01_Kab_02","Rural","Jawa",2,101260,98367,"SMA",3,0,1
2341,"Prov_09","Prov_09_Kab_05","Urban","Sulawesi",2,29086,23381,"S1",2,1,0
2342,"Prov_05","Prov_05_Kab_01","Urban","Sumatera",8,110343,93011,"SMA",3,0,0
2343,"Prov_06","Prov_06_Kab_05","Rural","Kalimantan",6,15529,12554,"SMP",3,0,2
2344,"Prov_01","Prov_01_Kab_04","Rural","Jawa",6,155387,100067,"S1",5,1,1
2345,"Prov_02","Prov_02_Kab_03","Urban","Jawa",2,84152,53937,"SMP",3,1,0
2346,"Prov_05","Prov_05_Kab_03","Urban","Sumatera",5,330396,226159,"SD",5,1,3
2347,"Prov_08","Prov_08_Kab_04","Urban","Sulawesi",6,83494,48738,"SMA",4,0,4
2348,"Prov_01","Prov_01_Kab_03","Urban","Jawa",5,231273,164075,"SMA",4,0,3
2349,"Prov_08","Prov_08_Kab_02","Rural","Sulawesi",3,58864,43246,"SD",2,0,1
2350,"Prov_03","Prov_03_Kab_01","Urban","Jawa",2,75515,52084,"S1",3,1,0
2351,"Prov_06","Prov_06_Kab_05","Rural","Kalimantan",4,43264,33005,"S1",1,0,1
2352,"Prov_02","Prov_02_Kab_04","Rural","Jawa",5,47432,45445,"SMA",2,0,1
2353,"Prov_04","Prov_04_Kab_01","Rural","Sumatera",4,36313,21191,"S1",3,0,3
2354,"Prov_01","Prov_01_Kab_02","Rural","Jawa",2,89973,78781,"SMA",3,1,1
2355,"Prov_08","Prov_08_Kab_05","Rural","Sulawesi",6,51425,31688,"SMP",2,0,0
2356,"Prov_04","Prov_04_Kab_05","Urban","Sumatera",7,110500,91993,"D3",3,0,1
2357,"Prov_07","Prov_07_Kab_04","Rural","Kalimantan",6,37875,30657,"SMA",3,0,1
2358,"Prov_05","Prov_05_Kab_04","Rural","Sumatera",4,29671,17190,"SMA",3,1,0
2359,"Prov_02","Prov_02_Kab_04","Urban","Jawa",2,77619,70297,"SMA",2,0,0
2360,"Prov_01","Prov_01_Kab_01","Rural","Jawa",2,139557,95013,"SMA",4,0,1
2361,"Prov_06","Prov_06_Kab_01","Rural","Kalimantan",5,54441,34983,"S1",4,1,0
2362,"Prov_01","Prov_01_Kab_01","Rural","Jawa",3,34380,26941,"SD",2,0,1
2363,"Prov_10","Prov_10_Kab_04","Rural","Indonesia Timur",1,38895,21572,"SD",2,1,0
2364,"Prov_04","Prov_04_Kab_01","Rural","Sumatera",4,132376,110611,"S1",5,1,1
2365,"Prov_03","Prov_03_Kab_02","Urban","Jawa",3,55827,44158,"SMP",2,0,0
2366,"Prov_08","Prov_08_Kab_04","Rural","Sulawesi",5,25956,18983,"SD",3,0,2
2367,"Prov_03","Prov_03_Kab_04","Urban","Jawa",2,84796,59831,"SMP",3,1,0
2368,"Prov_03","Prov_03_Kab_01","Rural","Jawa",5,56855,49452,"SMP",3,1,1
2369,"Prov_06","Prov_06_Kab_05","Rural","Kalimantan",7,43997,29613,"SD",2,0,2
2370,"Prov_05","Prov_05_Kab_03","Rural","Sumatera",1,77143,62996,"SMA",3,1,0
2371,"Prov_09","Prov_09_Kab_01","Rural","Sulawesi",3,112628,83799,"SD",3,0,0
2372,"Prov_01","Prov_01_Kab_01","Rural","Jawa",1,107086,87702,"S2+",4,1,0
2373,"Prov_01","Prov_01_Kab_01","Rural","Jawa",3,58611,38789,"SD",4,0,0
2374,"Prov_07","Prov_07_Kab_01","Urban","Kalimantan",5,341173,218465,"SMP",3,1,2
2375,"Prov_09","Prov_09_Kab_05","Urban","Sulawesi",4,17264,10921,"S1",2,0,1
2376,"Prov_06","Prov_06_Kab_05","Rural","Kalimantan",1,48929,37620,"SMA",3,1,0
2377,"Prov_04","Prov_04_Kab_01","Urban","Sumatera",4,57634,47691,"S1",2,1,0
2378,"Prov_04","Prov_04_Kab_01","Urban","Sumatera",8,237285,163316,"SD",3,1,4
2379,"Prov_04","Prov_04_Kab_04","Rural","Sumatera",5,44716,39911,"SMA",2,0,2
2380,"Prov_08","Prov_08_Kab_05","Rural","Sulawesi",4,18203,13522,"S1",4,1,1
2381,"Prov_08","Prov_08_Kab_05","Urban","Sulawesi",7,321538,198142,"SMP",4,1,4
2382,"Prov_08","Prov_08_Kab_05","Rural","Sulawesi",2,60792,34683,"SMA",2,1,1
2383,"Prov_03","Prov_03_Kab_01","Rural","Jawa",6,35575,29200,"SMA",3,1,0
2384,"Prov_01","Prov_01_Kab_02","Urban","Jawa",4,135563,102048,"S1",3,1,2
2385,"Prov_08","Prov_08_Kab_02","Rural","Sulawesi",3,43578,31965,"SMA",3,1,1
2386,"Prov_06","Prov_06_Kab_05","Urban","Kalimantan",3,60962,53461,"S2+",3,1,0
2387,"Prov_07","Prov_07_Kab_01","Rural","Kalimantan",1,107145,92179,"S2+",4,0,0
2388,"Prov_02","Prov_02_Kab_05","Urban","Jawa",5,85378,51707,"S1",3,1,0
2389,"Prov_09","Prov_09_Kab_05","Rural","Sulawesi",5,29450,17946,"S1",3,0,1
2390,"Prov_10","Prov_10_Kab_05","Urban","Indonesia Timur",5,141345,108211,"SMA",4,0,2
2391,"Prov_04","Prov_04_Kab_03","Rural","Sumatera",2,55509,47837,"D3",4,1,0
2392,"Prov_01","Prov_01_Kab_05","Urban","Jawa",5,38223,29119,"SD",3,1,2
2393,"Prov_04","Prov_04_Kab_01","Rural","Sumatera",6,62732,47405,"S1",2,0,2
2394,"Prov_10","Prov_10_Kab_03","Rural","Indonesia Timur",2,21436,19108,"S2+",3,1,1
2395,"Prov_01","Prov_01_Kab_01","Urban","Jawa",3,86706,61174,"SMA",3,0,1
2396,"Prov_10","Prov_10_Kab_05","Rural","Indonesia Timur",4,41793,38424,"SD",3,0,1
2397,"Prov_01","Prov_01_Kab_01","Rural","Jawa",3,131065,93858,"SD",2,0,1
2398,"Prov_08","Prov_08_Kab_04","Rural","Sulawesi",6,115456,103560,"S1",4,1,3
2399,"Prov_04","Prov_04_Kab_02","Rural","Sumatera",4,27744,21829,"S1",3,0,1
2400,"Prov_01","Prov_01_Kab_05","Rural","Jawa",8,13538,10442,"S2+",4,1,1
2401,"Prov_01","Prov_01_Kab_04","Urban","Jawa",2,87800,69000,"S2+",4,1,1
2402,"Prov_01","Prov_01_Kab_05","Rural","Jawa",3,48417,34086,"SMP",2,1,1
2403,"Prov_07","Prov_07_Kab_02","Rural","Kalimantan",2,95698,50884,"D3",4,1,0
2404,"Prov_01","Prov_01_Kab_03","Urban","Jawa",3,62279,54817,"SMP",3,1,0
2405,"Prov_01","Prov_01_Kab_05","Urban","Jawa",1,42964,26590,"SMA",2,1,0
2406,"Prov_04","Prov_04_Kab_03","Rural","Sumatera",5,157164,119589,"SMA",4,1,1
2407,"Prov_08","Prov_08_Kab_02","Rural","Sulawesi",6,149778,125830,"SMP",3,1,0
2408,"Prov_01","Prov_01_Kab_02","Urban","Jawa",4,162602,110577,"SD",4,1,2
2409,"Prov_01","Prov_01_Kab_03","Urban","Jawa",2,46999,25755,"SMA",3,1,0
2410,"Prov_03","Prov_03_Kab_05","Rural","Jawa",2,36077,28472,"D3",2,0,1
2411,"Prov_03","Prov_03_Kab_03","Urban","Jawa",6,217533,135848,"SD",3,0,2
2412,"Prov_06","Prov_06_Kab_03","Rural","Kalimantan",5,83879,53451,"SD",4,1,2
2413,"Prov_01","Prov_01_Kab_02","Rural","Jawa",7,60639,43673,"S2+",3,1,4
2414,"Prov_09","Prov_09_Kab_02","Rural","Sulawesi",4,49686,38776,"SMA",4,0,3
2415,"Prov_04","Prov_04_Kab_04","Urban","Sumatera",6,101277,67932,"S1",3,1,0
2416,"Prov_06","Prov_06_Kab_05","Urban","Kalimantan",3,153330,103333,"D3",4,1,1
2417,"Prov_07","Prov_07_Kab_04","Urban","Kalimantan",6,119342,103136,"SMA",3,0,1
2418,"Prov_06","Prov_06_Kab_04","Rural","Kalimantan",5,39369,31376,"SMP",3,0,1
2419,"Prov_06","Prov_06_Kab_05","Rural","Kalimantan",8,80091,55037,"S1",3,0,1
2420,"Prov_01","Prov_01_Kab_02","Rural","Jawa",3,59728,56082,"S1",5,0,0
2421,"Prov_06","Prov_06_Kab_01","Rural","Kalimantan",5,41945,34322,"SMP",2,1,2
2422,"Prov_07","Prov_07_Kab_01","Rural","Kalimantan",1,52954,32803,"SMP",4,0,0
2423,"Prov_07","Prov_07_Kab_01","Rural","Kalimantan",6,52971,36437,"SMA",3,0,4
2424,"Prov_06","Prov_06_Kab_04","Rural","Kalimantan",9,46260,35121,"SMP",3,0,6
2425,"Prov_02","Prov_02_Kab_04","Urban","Jawa",9,54423,45513,"SMA",3,0,4
2426,"Prov_08","Prov_08_Kab_02","Rural","Sulawesi",5,77831,45606,"SMA",4,1,1
2427,"Prov_04","Prov_04_Kab_01","Urban","Sumatera",8,85556,75509,"D3",4,1,7
2428,"Prov_07","Prov_07_Kab_01","Rural","Kalimantan",4,75680,53619,"SD",4,1,0
2429,"Prov_10","Prov_10_Kab_05","Urban","Indonesia Timur",3,112943,81364,"SD",2,1,0
2430,"Prov_06","Prov_06_Kab_05","Urban","Kalimantan",3,62951,41603,"SMA",2,1,0
2431,"Prov_06","Prov_06_Kab_05","Rural","Kalimantan",2,51197,45505,"SD",2,0,1
2432,"Prov_04","Prov_04_Kab_03","Rural","Sumatera",3,88276,68967,"SMA",3,1,0
2433,"Prov_07","Prov_07_Kab_05","Urban","Kalimantan",1,115692,82304,"SMP",5,1,0
2434,"Prov_05","Prov_05_Kab_03","Urban","Sumatera",3,281635,222009,"SMA",5,1,1
2435,"Prov_03","Prov_03_Kab_04","Urban","Jawa",4,62645,47714,"S1",3,1,0
2436,"Prov_02","Prov_02_Kab_02","Rural","Jawa",6,45978,33333,"SMA",2,0,2
2437,"Prov_01","Prov_01_Kab_02","Rural","Jawa",2,31059,22655,"SMP",4,0,0
2438,"Prov_07","Prov_07_Kab_04","Urban","Kalimantan",5,127787,80476,"SD",2,1,1
2439,"Prov_01","Prov_01_Kab_01","Rural","Jawa",5,38974,30352,"S1",3,1,3
2440,"Prov_03","Prov_03_Kab_01","Rural","Jawa",2,63197,50852,"SD",5,1,0
2441,"Prov_10","Prov_10_Kab_02","Rural","Indonesia Timur",4,117392,81350,"SMA",2,0,3
2442,"Prov_06","Prov_06_Kab_03","Rural","Kalimantan",1,103460,93512,"SD",4,1,0
2443,"Prov_05","Prov_05_Kab_02","Rural","Sumatera",5,43272,25083,"S1",3,0,1
2444,"Prov_02","Prov_02_Kab_04","Urban","Jawa",4,50545,38739,"SD",3,0,0
2445,"Prov_01","Prov_01_Kab_05","Urban","Jawa",4,62823,37408,"S1",4,1,3
2446,"Prov_06","Prov_06_Kab_05","Rural","Kalimantan",2,13652,7326,"SMA",3,1,1
2447,"Prov_03","Prov_03_Kab_05","Urban","Jawa",4,94284,79429,"S1",3,1,0
2448,"Prov_06","Prov_06_Kab_05","Urban","Kalimantan",3,155013,123427,"S1",4,0,0
2449,"Prov_03","Prov_03_Kab_03","Rural","Jawa",2,26806,24131,"S1",2,1,0
2450,"Prov_01","Prov_01_Kab_01","Rural","Jawa",6,73273,53225,"SMA",2,0,2
2451,"Prov_10","Prov_10_Kab_01","Urban","Indonesia Timur",3,103250,67831,"S1",3,1,2
2452,"Prov_01","Prov_01_Kab_03","Urban","Jawa",3,345770,188261,"S2+",5,0,2
2453,"Prov_05","Prov_05_Kab_05","Rural","Sumatera",4,89565,81077,"S1",2,0,3
2454,"Prov_05","Prov_05_Kab_03","Rural","Sumatera",4,175362,134934,"SMA",4,1,0
2455,"Prov_05","Prov_05_Kab_03","Rural","Sumatera",1,45160,38243,"S1",2,0,0
2456,"Prov_03","Prov_03_Kab_01","Rural","Jawa",4,58135,41965,"S1",5,1,1
2457,"Prov_04","Prov_04_Kab_03","Rural","Sumatera",4,173470,133125,"SMP",4,0,1
2458,"Prov_08","Prov_08_Kab_05","Urban","Sulawesi",5,28258,20564,"S1",3,1,3
2459,"Prov_05","Prov_05_Kab_01","Urban","Sumatera",4,118421,81209,"SMA",3,1,0
2460,"Prov_03","Prov_03_Kab_03","Urban","Jawa",5,89254,66086,"SMA",3,0,2
2461,"Prov_06","Prov_06_Kab_04","Rural","Kalimantan",1,67645,44537,"SMA",4,0,0
2462,"Prov_01","Prov_01_Kab_05","Urban","Jawa",1,96892,66974,"S2+",3,1,0
2463,"Prov_04","Prov_04_Kab_01","Urban","Sumatera",2,155306,96443,"SD",3,0,0
2464,"Prov_02","Prov_02_Kab_02","Urban","Jawa",3,93207,60611,"SMP",3,1,0
2465,"Prov_04","Prov_04_Kab_02","Rural","Sumatera",2,88466,53272,"SD",2,0,1
2466,"Prov_03","Prov_03_Kab_03","Urban","Jawa",3,83314,61763,"SMP",2,1,0
2467,"Prov_05","Prov_05_Kab_04","Rural","Sumatera",3,49917,43414,"SD",3,0,2
2468,"Prov_06","Prov_06_Kab_02","Rural","Kalimantan",8,86668,43414,"SD",3,1,0
2469,"Prov_04","Prov_04_Kab_04","Rural","Sumatera",6,40208,33140,"S1",3,0,1
2470,"Prov_04","Prov_04_Kab_03","Urban","Sumatera",5,93495,55591,"SMA",3,1,1
2471,"Prov_02","Prov_02_Kab_03","Urban","Jawa",4,165864,115490,"S1",5,1,1
2472,"Prov_03","Prov_03_Kab_03","Urban","Jawa",5,110337,60973,"D3",4,0,2
2473,"Prov_03","Prov_03_Kab_01","Rural","Jawa",9,172470,112610,"S1",4,0,3
2474,"Prov_07","Prov_07_Kab_02","Rural","Kalimantan",7,74070,47799,"SMA",4,0,3
2475,"Prov_02","Prov_02_Kab_03","Rural","Jawa",3,93868,82035,"SMA",4,0,1
2476,"Prov_03","Prov_03_Kab_04","Urban","Jawa",3,70584,44489,"S1",3,1,0
2477,"Prov_02","Prov_02_Kab_04","Urban","Jawa",1,109659,89299,"SMA",4,1,0
2478,"Prov_07","Prov_07_Kab_05","Rural","Kalimantan",4,98199,62644,"SMA",4,0,3
2479,"Prov_01","Prov_01_Kab_02","Urban","Jawa",5,55184,32093,"SD",3,0,3
2480,"Prov_06","Prov_06_Kab_01","Rural","Kalimantan",3,21237,16379,"S2+",2,1,0
2481,"Prov_10","Prov_10_Kab_04","Urban","Indonesia Timur",4,87950,72258,"SMA",3,1,1
2482,"Prov_02","Prov_02_Kab_04","Urban","Jawa",1,235514,132900,"S1",4,1,0
2483,"Prov_06","Prov_06_Kab_02","Urban","Kalimantan",4,203685,169542,"S1",5,1,2
2484,"Prov_05","Prov_05_Kab_02","Rural","Sumatera",6,51323,45864,"SD",2,0,1
2485,"Prov_07","Prov_07_Kab_04","Rural","Kalimantan",3,59419,38264,"SMA",4,0,0
2486,"Prov_06","Prov_06_Kab_01","Rural","Kalimantan",2,22949,17149,"S1",3,1,1
2487,"Prov_07","Prov_07_Kab_05","Rural","Kalimantan",4,34772,24888,"SMA",3,1,0
2488,"Prov_07","Prov_07_Kab_04","Rural","Kalimantan",5,75784,50380,"D3",3,0,1
2489,"Prov_02","Prov_02_Kab_02","Rural","Jawa",3,43627,40654,"SMA",2,1,0
2490,"Prov_02","Prov_02_Kab_05","Urban","Jawa",4,366882,316989,"SMP",3,0,1
2491,"Prov_04","Prov_04_Kab_02","Rural","Sumatera",3,67484,47341,"SMP",2,1,0
2492,"Prov_05","Prov_05_Kab_01","Rural","Sumatera",4,86728,77921,"SMP",2,0,2
2493,"Prov_01","Prov_01_Kab_01","Urban","Jawa",3,132303,89407,"D3",3,1,0
2494,"Prov_01","Prov_01_Kab_05","Urban","Jawa",3,198552,135285,"SMP",3,1,1
2495,"Prov_01","Prov_01_Kab_04","Rural","Jawa",3,62052,53263,"SMP",4,1,0
2496,"Prov_02","Prov_02_Kab_05","Urban","Jawa",4,210819,150874,"SMA",4,0,1
2497,"Prov_04","Prov_04_Kab_02","Urban","Sumatera",2,183649,161136,"SMP",3,1,1
2498,"Prov_05","Prov_05_Kab_03","Rural","Sumatera",4,88250,75210,"SD",3,1,1
2499,"Prov_05","Prov_05_Kab_04","Rural","Sumatera",4,62323,50126,"SD",4,0,3
2500,"Prov_02","Prov_02_Kab_02","Urban","Jawa",3,172006,107514,"S1",4,1,1
2501,"Prov_06","Prov_06_Kab_01","Rural","Kalimantan",8,59200,48856,"SMA",3,1,5
2502,"Prov_01","Prov_01_Kab_03","Rural","Jawa",6,39645,23964,"SMA",3,1,2
2503,"Prov_08","Prov_08_Kab_03","Rural","Sulawesi",4,34509,22359,"SMP",1,1,1
2504,"Prov_03","Prov_03_Kab_01","Rural","Jawa",5,14406,9859,"D3",2,0,0
2505,"Prov_01","Prov_01_Kab_02","Urban","Jawa",1,160427,140971,"S1",4,1,0
2506,"Prov_09","Prov_09_Kab_03","Urban","Sulawesi",9,53181,29892,"SMA",4,0,2
2507,"Prov_04","Prov_04_Kab_04","Rural","Sumatera",7,12150,7460,"SMP",2,1,4
2508,"Prov_09","Prov_09_Kab_04","Rural","Sulawesi",8,120895,99615,"SMA",5,0,1
2509,"Prov_01","Prov_01_Kab_05","Rural","Jawa",2,28859,16865,"SMA",3,1,0
2510,"Prov_09","Prov_09_Kab_04","Rural","Sulawesi",5,17828,12468,"SD",3,0,4
2511,"Prov_04","Prov_04_Kab_04","Rural","Sumatera",5,33342,19278,"S2+",2,1,1
2512,"Prov_02","Prov_02_Kab_04","Urban","Jawa",2,289636,172479,"SMP",4,1,1
2513,"Prov_08","Prov_08_Kab_03","Urban","Sulawesi",2,72886,38515,"SMA",3,1,1
2514,"Prov_03","Prov_03_Kab_02","Rural","Jawa",4,25855,23253,"SMP",2,1,0
2515,"Prov_03","Prov_03_Kab_05","Rural","Jawa",4,73262,57886,"D3",2,0,1
2516,"Prov_05","Prov_05_Kab_03","Rural","Sumatera",1,28574,15369,"SMA",3,0,0
2517,"Prov_05","Prov_05_Kab_01","Urban","Sumatera",3,132332,105332,"S1",5,1,2
2518,"Prov_02","Prov_02_Kab_04","Rural","Jawa",2,41570,21737,"S1",1,1,0
2519,"Prov_03","Prov_03_Kab_01","Urban","Jawa",1,46106,38997,"SMP",1,1,0
2520,"Prov_04","Prov_04_Kab_01","Rural","Sumatera",7,129175,89099,"S1",4,1,3
2521,"Prov_01","Prov_01_Kab_05","Urban","Jawa",2,82853,51290,"SD",2,0,0
2522,"Prov_08","Prov_08_Kab_04","Rural","Sulawesi",3,91235,69313,"SMP",4,0,1
2523,"Prov_02","Prov_02_Kab_01","Rural","Jawa",2,25603,17610,"SMA",3,0,1
2524,"Prov_05","Prov_05_Kab_03","Rural","Sumatera",5,29667,17953,"SMP",4,1,2
2525,"Prov_01","Prov_01_Kab_04","Rural","Jawa",7,52144,35759,"SD",3,0,0
2526,"Prov_01","Prov_01_Kab_01","Rural","Jawa",3,15605,10416,"S1",3,1,0
2527,"Prov_01","Prov_01_Kab_03","Urban","Jawa",1,118673,90572,"SD",4,1,0
2528,"Prov_07","Prov_07_Kab_02","Rural","Kalimantan",6,49292,38152,"S1",3,0,2
2529,"Prov_04","Prov_04_Kab_01","Rural","Sumatera",5,44492,27815,"SMA",3,0,2
2530,"Prov_10","Prov_10_Kab_05","Urban","Indonesia Timur",3,144965,116913,"S1",4,1,1
2531,"Prov_08","Prov_08_Kab_05","Rural","Sulawesi",8,100880,63065,"S1",4,0,2
2532,"Prov_03","Prov_03_Kab_01","Urban","Jawa",1,253699,177985,"SD",4,1,0
2533,"Prov_03","Prov_03_Kab_04","Urban","Jawa",1,83028,67720,"SMA",1,1,0
2534,"Prov_09","Prov_09_Kab_01","Rural","Sulawesi",7,27095,18454,"S1",3,1,2
2535,"Prov_02","Prov_02_Kab_02","Urban","Jawa",1,155711,115816,"D3",3,1,0
2536,"Prov_02","Prov_02_Kab_04","Urban","Jawa",3,66076,49477,"D3",4,0,1
2537,"Prov_03","Prov_03_Kab_05","Urban","Jawa",3,94676,85427,"SMA",5,1,1
2538,"Prov_01","Prov_01_Kab_01","Urban","Jawa",1,438902,355909,"D3",3,1,0
2539,"Prov_08","Prov_08_Kab_04","Rural","Sulawesi",9,29099,21112,"SMP",3,0,2
2540,"Prov_02","Prov_02_Kab_05","Urban","Jawa",5,94967,64394,"SMA",3,1,3
2541,"Prov_04","Prov_04_Kab_02","Urban","Sumatera",4,17989,11544,"SMP",4,0,2
2542,"Prov_07","Prov_07_Kab_02","Rural","Kalimantan",3,26574,16852,"S1",4,0,1
2543,"Prov_07","Prov_07_Kab_05","Urban","Kalimantan",4,92620,49518,"SMA",4,1,1
2544,"Prov_07","Prov_07_Kab_03","Rural","Kalimantan",2,47716,39681,"D3",3,0,0
2545,"Prov_10","Prov_10_Kab_04","Rural","Indonesia Timur",3,68813,52296,"SMA",3,1,0
2546,"Prov_03","Prov_03_Kab_01","Urban","Jawa",5,87983,56333,"D3",3,1,3
2547,"Prov_08","Prov_08_Kab_01","Rural","Sulawesi",3,120182,79316,"D3",3,0,0
2548,"Prov_02","Prov_02_Kab_01","Urban","Jawa",7,192896,133256,"SMA",4,1,2
2549,"Prov_04","Prov_04_Kab_01","Urban","Sumatera",5,156887,121681,"S1",4,1,1
2550,"Prov_01","Prov_01_Kab_02","Urban","Jawa",3,180789,134868,"S1",2,1,0
2551,"Prov_09","Prov_09_Kab_05","Urban","Sulawesi",1,175007,132796,"SMP",5,1,0
2552,"Prov_05","Prov_05_Kab_05","Rural","Sumatera",5,15144,11905,"SMA",2,0,1
2553,"Prov_03","Prov_03_Kab_02","Urban","Jawa",4,205857,150979,"S1",3,0,0
2554,"Prov_02","Prov_02_Kab_02","Rural","Jawa",7,36317,26578,"SMP",3,0,4
2555,"Prov_06","Prov_06_Kab_05","Rural","Kalimantan",4,30177,23399,"S1",3,1,1
2556,"Prov_06","Prov_06_Kab_01","Urban","Kalimantan",3,48905,32188,"SMP",4,0,1
2557,"Prov_02","Prov_02_Kab_05","Urban","Jawa",3,206861,128847,"D3",4,1,0
2558,"Prov_01","Prov_01_Kab_05","Rural","Jawa",5,160158,106564,"SD",5,1,2
2559,"Prov_01","Prov_01_Kab_05","Rural","Jawa",3,57367,42496,"D3",4,0,1
2560,"Prov_01","Prov_01_Kab_02","Rural","Jawa",1,46771,39777,"SMA",5,0,0
2561,"Prov_03","Prov_03_Kab_02","Rural","Jawa",3,94434,81470,"SMA",4,0,0
2562,"Prov_08","Prov_08_Kab_05","Urban","Sulawesi",5,94452,73940,"S2+",3,1,1
2563,"Prov_01","Prov_01_Kab_05","Rural","Jawa",5,108806,91076,"SD",5,1,0
2564,"Prov_02","Prov_02_Kab_04","Urban","Jawa",4,227639,154011,"SMA",3,0,1
2565,"Prov_08","Prov_08_Kab_05","Rural","Sulawesi",5,9522,8352,"SMA",3,1,2
2566,"Prov_07","Prov_07_Kab_03","Rural","Kalimantan",6,34261,27046,"SD",2,0,1
2567,"Prov_02","Prov_02_Kab_05","Urban","Jawa",5,165085,104445,"D3",3,1,2
2568,"Prov_01","Prov_01_Kab_04","Urban","Jawa",3,104533,68411,"SMA",4,1,2
2569,"Prov_10","Prov_10_Kab_05","Rural","Indonesia Timur",3,96889,69598,"SMA",4,0,2
2570,"Prov_06","Prov_06_Kab_03","Rural","Kalimantan",3,87009,56726,"SD",3,0,1
2571,"Prov_09","Prov_09_Kab_04","Rural","Sulawesi",3,34318,28140,"S1",4,1,0
2572,"Prov_05","Prov_05_Kab_03","Rural","Sumatera",2,66810,51378,"SMA",3,0,0
2573,"Prov_10","Prov_10_Kab_05","Rural","Indonesia Timur",3,305327,221075,"SMA",3,1,0
2574,"Prov_05","Prov_05_Kab_04","Rural","Sumatera",3,50782,33925,"S1",4,0,0
2575,"Prov_01","Prov_01_Kab_04","Urban","Jawa",2,98284,56940,"SMA",3,1,0
2576,"Prov_01","Prov_01_Kab_03","Urban","Jawa",3,116360,82198,"D3",3,1,0
2577,"Prov_03","Prov_03_Kab_03","Urban","Jawa",4,62959,39356,"S1",3,0,3
2578,"Prov_07","Prov_07_Kab_01","Urban","Kalimantan",5,36980,25368,"SMA",2,1,1
2579,"Prov_07","Prov_07_Kab_02","Rural","Kalimantan",4,38960,21020,"SD",2,0,2
2580,"Prov_03","Prov_03_Kab_05","Urban","Jawa",6,163870,105567,"SMA",4,0,2
2581,"Prov_04","Prov_04_Kab_03","Urban","Sumatera",1,33018,22394,"D3",2,0,0
2582,"Prov_03","Prov_03_Kab_05","Rural","Jawa",4,50269,31698,"SMA",3,1,1
2583,"Prov_01","Prov_01_Kab_02","Rural","Jawa",5,82214,53930,"SMP",3,0,0
2584,"Prov_02","Prov_02_Kab_05","Urban","Jawa",2,53883,38804,"SD",2,1,0
2585,"Prov_07","Prov_07_Kab_02","Rural","Kalimantan",1,26533,19982,"S1",3,0,0
2586,"Prov_08","Prov_08_Kab_02","Rural","Sulawesi",3,186740,147624,"SMP",4,1,0
2587,"Prov_01","Prov_01_Kab_02","Urban","Jawa",5,94495,58610,"SMA",3,1,1
2588,"Prov_04","Prov_04_Kab_05","Rural","Sumatera",8,131610,83587,"SMA",4,0,4
2589,"Prov_06","Prov_06_Kab_01","Rural","Kalimantan",4,67403,37642,"SMP",3,0,0
2590,"Prov_05","Prov_05_Kab_01","Rural","Sumatera",4,37238,30868,"SMA",4,1,1
2591,"Prov_10","Prov_10_Kab_01","Rural","Indonesia Timur",9,44526,34818,"SD",4,0,3
2592,"Prov_03","Prov_03_Kab_05","Urban","Jawa",3,82152,68467,"S1",3,1,0
2593,"Prov_06","Prov_06_Kab_05","Rural","Kalimantan",4,125322,121228,"S1",2,0,2
2594,"Prov_07","Prov_07_Kab_03","Rural","Kalimantan",6,21650,19519,"D3",3,1,2
2595,"Prov_01","Prov_01_Kab_01","Urban","Jawa",1,137356,93296,"S1",3,1,0
2596,"Prov_04","Prov_04_Kab_03","Urban","Sumatera",6,243014,179085,"S1",5,0,2
2597,"Prov_06","Prov_06_Kab_05","Rural","Kalimantan",5,49842,37071,"SD",2,1,2
2598,"Prov_01","Prov_01_Kab_01","Urban","Jawa",4,195770,146305,"SMP",4,1,1
2599,"Prov_02","Prov_02_Kab_05","Urban","Jawa",3,64665,55664,"D3",3,1,2
2600,"Prov_06","Prov_06_Kab_05","Urban","Kalimantan",5,129023,76244,"S1",4,1,0
2601,"Prov_08","Prov_08_Kab_02","Urban","Sulawesi",1,86436,84721,"SMA",4,1,0
2602,"Prov_04","Prov_04_Kab_04","Rural","Sumatera",4,76795,57366,"SMA",2,0,3
2603,"Prov_08","Prov_08_Kab_05","Rural","Sulawesi",3,71769,61219,"S1",3,1,0
2604,"Prov_06","Prov_06_Kab_04","Urban","Kalimantan",6,96385,70056,"SMA",3,1,1
2605,"Prov_03","Prov_03_Kab_01","Urban","Jawa",6,110038,69129,"SMA",3,1,2
2606,"Prov_02","Prov_02_Kab_03","Rural","Jawa",6,70633,36666,"SD",4,0,0
2607,"Prov_10","Prov_10_Kab_01","Rural","Indonesia Timur",6,44801,26548,"SMA",2,1,1
2608,"Prov_09","Prov_09_Kab_01","Urban","Sulawesi",4,96595,68294,"SMP",2,1,3
2609,"Prov_06","Prov_06_Kab_04","Rural","Kalimantan",1,69451,48469,"SD",3,1,0
2610,"Prov_01","Prov_01_Kab_05","Urban","Jawa",5,192217,147959,"SMP",4,1,4
2611,"Prov_07","Prov_07_Kab_02","Rural","Kalimantan",7,40952,29330,"S1",2,0,3
2612,"Prov_07","Prov_07_Kab_03","Rural","Kalimantan",2,41078,30957,"S1",3,1,0
2613,"Prov_08","Prov_08_Kab_04","Urban","Sulawesi",5,41521,33720,"SMA",3,1,1
2614,"Prov_05","Prov_05_Kab_01","Rural","Sumatera",3,74318,53631,"SMP",4,1,0
